iid_pid;iid;id;gender;idg;condtn;wave;round;position;positin1;order;partner;pid;match;int_corr;samerace;age_o;race_o;pf_o_att;pf_o_sin;pf_o_int;pf_o_fun;pf_o_amb;pf_o_sha;dec_o;attr_o;sinc_o;intel_o;fun_o;amb_o;shar_o;age;field;field_cd;race;imprace;imprelig;from;zipcode;income;goal;date;go_out;career;career_c;sports;tvsports;exercise;dining;museums;art;hiking;gaming;clubbing;reading;tv;theater;movies;concerts;music;shopping;yoga;exphappy;expnum;attr1_1;sinc1_1;intel1_1;fun1_1;amb1_1;shar1_1
6804;453;14;1;24;2;17;11;2;14;1;10;439;0;0,48;0;29;2;20;10;50;5;10;5;0;3.00;10.00;10.00;3.00;10.00;0.00;27;law;1.00;4;4;3;Shanghai, China;210,009;;2;6;5;lawyer;1.00;6;3;5;6;6;5;6;5;3;6;6;4;7;6;5;4;1;6;;30.00;30.00;30.00;5.00;0.00;5.00
6803;453;14;1;24;2;17;11;13;14;10;9;438;0;0,31;0;23;2;14;15;16;17;18;20;0;3.00;9.00;10.00;3.00;10.00;2.00;27;law;1.00;4;4;3;Shanghai, China;210,009;;2;6;5;lawyer;1.00;6;3;5;6;6;5;6;5;3;6;6;4;7;6;5;4;1;6;;30.00;30.00;30.00;5.00;0.00;5.00
6802;453;14;1;24;2;17;11;12;14;9;8;437;0;0,4;0;23;2;15;15;18;18;14;20;0;6.00;8.00;10.00;6.00;9.00;5.00;27;law;1.00;4;4;3;Shanghai, China;210,009;;2;6;5;lawyer;1.00;6;3;5;6;6;5;6;5;3;6;6;4;7;6;5;4;1;6;;30.00;30.00;30.00;5.00;0.00;5.00
6801;453;14;1;24;2;17;11;6;14;4;7;436;0;0,59;0;23;2;28;8;17;22;17;8;0;7.00;10.00;8.00;8.00;8.00;7.00;27;law;1.00;4;4;3;Shanghai, China;210,009;;2;6;5;lawyer;1.00;6;3;5;6;6;5;6;5;3;6;6;4;7;6;5;4;1;6;;30.00;30.00;30.00;5.00;0.00;5.00
6800;453;14;1;24;2;17;11;7;14;5;6;435;0;-0,17;0;22;1;25;5;20;25;15;10;0;2.00;;;;;;27;law;1.00;4;4;3;Shanghai, China;210,009;;2;6;5;lawyer;1.00;6;3;5;6;6;5;6;5;3;6;6;4;7;6;5;4;1;6;;30.00;30.00;30.00;5.00;0.00;5.00
6799;453;14;1;24;2;17;11;4;14;3;5;434;0;-0,22;0;27;2;30;15;15;30;0;10;0;4.00;8.00;7.00;5.00;5.00;6.00;27;law;1.00;4;4;3;Shanghai, China;210,009;;2;6;5;lawyer;1.00;6;3;5;6;6;5;6;5;3;6;6;4;7;6;5;4;1;6;;30.00;30.00;30.00;5.00;0.00;5.00
6798;453;14;1;24;2;17;11;3;14;2;4;433;0;0,32;0;30;6;20;20;20;20;10;10;0;2.00;7.00;7.00;2.00;7.00;1.00;27;law;1.00;4;4;3;Shanghai, China;210,009;;2;6;5;lawyer;1.00;6;3;5;6;6;5;6;5;3;6;6;4;7;6;5;4;1;6;;30.00;30.00;30.00;5.00;0.00;5.00
6797;453;14;1;24;2;17;11;11;14;8;3;432;1;0,27;0;28;2;15;30;30;10;10;5;1;3.00;9.00;10.00;5.00;10.00;10.00;27;law;1.00;4;4;3;Shanghai, China;210,009;;2;6;5;lawyer;1.00;6;3;5;6;6;5;6;5;3;6;6;4;7;6;5;4;1;6;;30.00;30.00;30.00;5.00;0.00;5.00
6796;453;14;1;24;2;17;11;9;14;7;2;431;0;0,19;1;27;4;15;15;25;15;15;15;0;3.00;8.00;7.00;4.00;4.00;1.00;27;law;1.00;4;4;3;Shanghai, China;210,009;;2;6;5;lawyer;1.00;6;3;5;6;6;5;6;5;3;6;6;4;7;6;5;4;1;6;;30.00;30.00;30.00;5.00;0.00;5.00
6795;453;14;1;24;2;17;11;8;14;6;1;430;0;0;1;22;4;10;25;15;20;15;15;0;4.00;8.00;9.00;8.00;9.00;2.00;27;law;1.00;4;4;3;Shanghai, China;210,009;;2;6;5;lawyer;1.00;6;3;5;6;6;5;6;5;3;6;6;4;7;6;5;4;1;6;;30.00;30.00;30.00;5.00;0.00;5.00
